filename,session_root,session_date,fixation_type,cell_type,sample_index,frame_index,em_filter_nm,acquisition_time,annotation,notes,laser_damage
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,20260429,form,KPCWT,4,9,457,54:24.1,colony_island,,False
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,20260429,form,KPCWT,4,9,535,14:59.8,colony_island,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p15_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,457,35:05.3,colony_edge,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,457,36:55.0,colony_edge,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,535,49:30.0,colony_edge,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,colony_deep,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,colony_deep,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,colony_deep,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,colony_deep,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,colony_deep,,False
