filename,fixation_type,chi2_mean,chi2_median,frac_hi
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,live,1.0735147404022216,1.06488,0.0001983642578125
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,live,1.0402557675628663,1.03496,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,live,1.065054793106079,1.06002,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,live,1.0703337449951174,1.06642,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,live,1.08953689163208,1.0845150000000001,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,live,1.0287806532135009,1.019095,3.0517578125e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,live,1.040477709350586,1.03414,1.52587890625e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0010.sdt,live,1.0446131314239502,1.03822,1.52587890625e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0011.sdt,live,1.0549055545959471,1.04879,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0012.sdt,live,80621.07150103684,1.56293,0.37373198077949815
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0013.sdt,live,,,
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0014.sdt,live,,,
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0015.sdt,live,,,
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0016.sdt,live,,,
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0017.sdt,live,1.0156595107609296,0.9949600000000001,0.0034950027592127045
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0018.sdt,live,1.050851431058687,1.044305,3.051850947599719e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0019.sdt,live,1.0341673598632812,1.02689,9.1552734375e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0020.sdt,live,1.0417726422119142,1.035705,1.52587890625e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0021.sdt,live,1.0299210164337158,1.02104,1.52587890625e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0022.sdt,live,1.0453411769714356,1.040845,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0023.sdt,live,470589.3088426849,5.04632,0.6596638655462185
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0024.sdt,live,,,
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000.sdt,live,1.0334711822662355,1.025785,3.0517578125e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0001.sdt,live,1.0349407224273681,1.02486,9.1552734375e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0002.sdt,live,1.036781190032959,1.028665,3.0517578125e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0003.sdt,live,1.0589011936340333,1.05241,0.0001220703125
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0004.sdt,live,1.0263346154633037,1.01775,0.001145090614837321
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0005.sdt,live,1.0301986165618895,1.02211,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0006.sdt,live,1.0384615714263916,1.027905,9.1552734375e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedtwicePos10_0007.sdt,live,1.053900990966797,1.04536,0.00018310546875
3_KPCWTlive_740nm_3033mW_u1_poc0p1_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000.sdt,live,1.034592159670405,1.02691,0.00039673456931410697
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.0475453219451905,1.03976,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.0270389389661096,0.985008,0.011275964391691394
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.07105221736145,1.062025,3.0517578125e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.054875382965088,1.04871,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,live,1.0581263837738035,1.04992,1.52587890625e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,live,1.0709123401336669,1.059345,0.0005645751953125
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,live,1.0625087597808838,1.05417,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,live,1.0724784965209961,1.06267,0.0011138916015625
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,live,1.0710252161254883,1.063345,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,live,1.0785453717651365,1.06972,0.0014190673828125
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,live,1.052886196166992,1.044785,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,live,1.0585388284759523,1.050395,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0010.sdt,live,1.065184421524048,1.057115,0.0001068115234375
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0011.sdt,live,1.0750178699188233,1.06145,0.00286865234375
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0012.sdt,live,1.0596549611663817,1.04839,0.0023193359375
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0013.sdt,live,1.0588298655700683,1.04812,7.62939453125e-05
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0014.sdt,live,1.0621481456604003,1.0505149999999999,0.00128173828125
3_KPCWTlive_740nm_3033mW_u1_poc0p25_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0015.sdt,live,1.0712177309570312,1.056605,0.002227783203125
