filename,session_root,fixation_type,cell_type,em_filter_nm,position_annotation,acquisition_time,n_px_total,n_px_masked,otsu_thresh,G_cal_mean,S_cal_mean,G_cal_wmean,S_cal_wmean,G_cal_std,S_cal_std,M_wmean,tau_phi_ns,tau_mod_ns
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:54:24.066645,65536,11783,26.067968449251133,0.40620092425309123,0.3027088692128421,0.4006063384655278,0.29940988820171754,0.133479812241119,0.08936709705129785,0.5001317022262456,1.4868887216195283,3.4445956745701944
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:07:14.195684,65536,26934,11.54845530570104,0.4103144206952374,0.30668425961183,0.4190548039776048,0.3101570943393778,0.1892268617489704,0.14269816301771973,0.521348589626705,1.4724516408887582,3.2563117866535576
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0001.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:08:06.188833,65536,13292,28.483627478948065,0.45105148535313894,0.329148167758224,0.4649712932732897,0.3294832299754392,0.11944725712376363,0.07938265653001347,0.5698749883994592,1.4097344684259252,2.868668945799173
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0002.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:08:57.785968,65536,36729,18.684441590747117,0.39082073579436266,0.3144388953975572,0.3997805051649527,0.31735079461697296,0.1520118298765859,0.1118011110246757,0.5104272515784879,1.5792399518265683,3.3516203249823735
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0003.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:09:49.223563,65536,32969,18.679631991827666,0.3840500981148348,0.3149505856752311,0.3912165198843223,0.31747292569411717,0.15426140655559975,0.11289342613034513,0.5038247949229799,1.614431614397477,3.4108824884335123
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0004.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 11:10:41.324363,65536,8781,29.04795694540602,0.497365153009244,0.3143784365096285,0.5163547749298915,0.31617711015539895,0.12231936495956161,0.07909652580316252,0.6054669425981225,1.2181825465973186,2.6150626089179974
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0005.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 11:11:33.085390,65536,3804,35.03907142609137,0.5349116257268962,0.30767777286773457,0.559689557275615,0.3082748647226898,0.124414976650958,0.07364552699328474,0.638972450691864,1.0957741643069572,2.3949916807199436
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0006.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 11:12:24.785834,65536,32707,5.602158169382989,0.24459881563726485,0.2085612251678704,0.36142232063674556,0.2575618410417848,0.3273738018837063,0.27190354877107725,0.44380648464762673,1.4177403349573796,4.01701964505123
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0007.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_edge,2026-04-30 11:13:16.399550,65536,33913,28.227485742895944,0.4004355588429724,0.3250908246616531,0.4028338130910228,0.3263899563052633,0.12689207615677936,0.09166801739607222,0.5184645451199192,1.6119108312598605,3.2811610271388383
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0008.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:14:08.362025,65536,13244,20.51771132666574,0.365357617095487,0.3195940546768045,0.3698991139792393,0.3211128493102913,0.14579295728527583,0.10664587975007368,0.48983549944323157,1.7270485156164823,3.5408225729219147
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,colony_island,2026-04-30 11:14:59.811825,65536,11296,24.164286227836808,0.41263471924745543,0.32013725231720086,0.4397971610681908,0.3117832339268381,0.13383239089344326,0.09639072167255743,0.539101407753233,1.4103616179590095,3.108107184776731
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 10:36:08.951813,65536,29360,20.836470761440474,0.5000628647286165,0.32667027887839206,0.49860593867577213,0.3281118807968983,0.13288561012355432,0.09561741491524653,0.5968796263928146,1.309165807739269,2.6742182817556364
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 10:37:16.977535,65536,14637,51.01519310234498,0.5111613961238016,0.33467219883902855,0.5096357534898542,0.3354215248427077,0.08269018539958455,0.05703363259623396,0.61011162959165,1.3093663791388772,2.5835625188101927
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 10:38:24.763521,65536,22743,42.50272677641544,0.5108473105752624,0.3351028793092403,0.5092123707591122,0.3358703636533831,0.0916214421812421,0.06459369196644073,0.6100050325323318,1.3122086108645419,2.584281656447173
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,457,colony_deep,2026-05-02 10:39:32.542870,65536,14498,37.05626593810913,0.508369436944749,0.33549268655962944,0.5054242568863879,0.336551124818257,0.09720403490316158,0.0685180003225793,0.6072234671565251,1.324723101141231,2.6031098526805416
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 10:50:43.884449,65536,30366,9.743299743416,0.5080233916795917,0.3098713212975355,0.5155359778810402,0.31095255313260706,0.20170172474381318,0.1482225507111998,0.6020538470846667,1.1999559201840844,2.6384296491729664
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,live,KPCWT,535,colony_deep,2026-05-02 10:51:51.847521,65536,18290,16.94044970745955,0.5543696657178075,0.3208432342811747,0.5610214952626403,0.32113937384498326,0.145950533451804,0.10425945471742849,0.6464329938827973,1.1387914545265732,2.3480888474619963
